Fe(acac)3 -- vibronic analysis
TPSSh / def2-TZVP(Fe,O) def2-SVP(C,H) / SMD(water) / TDA, ORCA 6
Ground state: 123 real modes, 0 imaginary


====================================================================================================
ROOT 15   E = 2.918 eV = 424.8 nm
====================================================================================================

A. FRANCK-CONDON ACTIVITY  (excited-state gradient projected on ground-state modes)
   total reorganisation energy = 2543.7 cm-1 = 0.3154 eV
   gradient unaccounted for by the vibrations = 0.155 %

 mode  freq/cm-1        grad/au        displ          S_k  lambda/cm-1    RR(rel)
   32     246.88   -3.855630e-5       1.0220      0.52224       128.93     0.0865
   33     258.18    1.798516e-7      -0.0045      0.00001         0.00     0.0000
   34     274.45   -6.433771e-8       0.0015      0.00000         0.00     0.0000
   35     277.60    2.733459e-5      -0.6076      0.18462        51.25     0.0387
   36     400.30   -7.158143e-8       0.0009      0.00000         0.00     0.0000
   37     402.43    5.343981e-6      -0.0681      0.00232         0.93     0.0010
   38     406.08   -1.273105e-7       0.0016      0.00000         0.00     0.0000
   39     417.21    2.917599e-7      -0.0035      0.00001         0.00     0.0000
   40     420.71   -5.669431e-6       0.0676      0.00228         0.96     0.0011
   41     435.03    1.739818e-4      -1.9715      1.94348       845.47     1.0000
   42     531.25   -7.404006e-6       0.0622      0.00193         1.03     0.0015
   43     532.31    4.955865e-8      -0.0004      0.00000         0.00     0.0000
   44     540.78    1.968848e-7      -0.0016      0.00000         0.00     0.0000
   45     562.81   -2.628621e-6       0.0202      0.00020         0.12     0.0002
   46     563.90   -6.312550e-6       0.0485      0.00117         0.66     0.0010
   47     563.97   -3.798248e-6       0.0292      0.00043         0.24     0.0004
   48     654.64    2.724284e-7      -0.0017      0.00000         0.00     0.0000
   49     656.48   -2.484243e-6       0.0152      0.00012         0.08     0.0001
   50     661.09    9.175952e-5      -0.5551      0.15404       101.84     0.1830
   51     664.88   -1.254573e-7       0.0008      0.00000         0.00     0.0000
   52     666.77    4.873402e-6      -0.0291      0.00042         0.28     0.0005
   53     667.32   -7.716860e-5       0.4603      0.10593        70.69     0.1282
   54     811.06    3.226741e-7      -0.0014      0.00000         0.00     0.0000
   55     811.22   -5.436307e-6       0.0242      0.00029         0.24     0.0005
   56     812.45    1.730760e-8      -0.0001      0.00000         0.00     0.0000
   57     948.07    6.270797e-6      -0.0221      0.00024         0.23     0.0006
   58     948.09    9.450680e-6      -0.0333      0.00055         0.53     0.0014
   59     949.43   -1.623058e-5       0.0570      0.00163         1.54     0.0040
   60     950.09    1.050194e-7      -0.0004      0.00000         0.00     0.0000
   61     950.32   -5.648517e-5       0.1982      0.01965        18.67     0.0483
   62     951.46   -4.519150e-7       0.0016      0.00000         0.00     0.0000
   63    1026.06   -1.550499e-9       0.0000      0.00000         0.00     0.0000
   64    1026.29    3.719811e-6      -0.0116      0.00007         0.07     0.0002
   65    1026.34    1.380323e-5      -0.0432      0.00093         0.96     0.0027
   66    1026.71   -3.332004e-6       0.0104      0.00005         0.06     0.0002
   67    1027.07   -2.560331e-8       0.0001      0.00000         0.00     0.0000
   68    1028.03   -1.116657e-7       0.0003      0.00000         0.00     0.0000
   69    1031.27    1.190138e-5      -0.0370      0.00068         0.70     0.0020
   70    1031.41   -1.698795e-7       0.0005      0.00000         0.00     0.0000
   71    1035.87   -1.302075e-4       0.4016      0.08063        83.52     0.2352
   72    1039.98   -1.390440e-5       0.0426      0.00091         0.94     0.0027
   73    1040.12   -2.976242e-6       0.0091      0.00004         0.04     0.0001
   74    1040.16    8.908685e-6      -0.0273      0.00037         0.39     0.0011
   75    1193.64    6.364484e-7      -0.0016      0.00000         0.00     0.0000
   76    1194.28   -3.454943e-8       0.0001      0.00000         0.00     0.0000
   77    1195.97   -2.151034e-7       0.0005      0.00000         0.00     0.0000
   78    1289.25    3.389975e-7      -0.0008      0.00000         0.00     0.0000
   79    1290.46   -2.462916e-6       0.0055      0.00001         0.02     0.0001
   80    1295.48    9.311433e-5      -0.2053      0.02108        27.31     0.0962
   81    1346.36    7.053365e-6      -0.0147      0.00011         0.15     0.0005
